ID,LanguageVariety,Glottocode,Family,Area,Notes,BibTex
1,Proto-Nordic,nort3160,Indoeuropean,Europe,Glottocode for North Germanic,kristoffersen2000
2,Yabem,yabe1254,Austronesian,Papunesia,,kingston2011
3,Kammu,khmu1256,Austroasiatic,Asia,,kingston2011
4,Phan Rang Cham,east2563,Austronesian,Asia,,kingston2011
5,Vietnamese,viet1252,Austroasiatic,Asia,,kingston2011
6,Punjabi,sind1278,Indoeuropean,Asia,Glottocode for Sindhi-Lahnda ,yip2002
7,Burmese,nucl1310,Sino-Tibetan,Asia,,hombert1979
8,Lahu,lahu1253,Sino-Tibetan,Asia,,hombert1979
9,Middle Chinese,midd1344,Sino-Tibetan,Asia,,hombert1979
10,Cherokee,cher1273,Iroquian,North America,,julian2010
11,Proto-Athabaskan (tonal dialects) group one,atha1247,Athabaskan-Eyak-Tlingit,North America,,kingston2011
12,Proto-Athabaskan (tonal dialects) group two,atha1247,Athabaskan-Eyak-Tlingit,North America,,kingston2011
13,Central Scandinavian,nort3160,Indoeuropean,Europe,Glottocode for North Germanic,kingston2011
14,Cem,cemu1238,Austronesian,Papunesia,,ebrey1993
15,Lhasa Tibetan,utsa1239,Sino-Tibetan,Asia,,"kingston2011, sun2003"
16,Baima Tibetan,baim1244,Sino-Tibetan,Asia,,sun2003
17,U,uuuu1243,Austroasiatic,Asia,,kingston2011
18,Western Lugbara,lugb1240,Central Sudanic - Nilo-Saharan,Africa,,kingston2011
19,Khaling,khal1275,Sino-Tibetan,Asia,,jacques2016
20,Kurtöp,kurt1248,Sino-Tibetan,Asia,,hyslop2009
21,Proto-Mohawk-Oneida,moha1257,Iroquian,North America,,julian2010
22,Heiltsuk,heil1246,Wakashan,North America,,howe2005
23,Iraqw,iraq1241,Afroasiatic,Africa,,kiessling2000
24,Podoko,podo1243,Afroasiatic,Africa,,kiessling2003
25,Bila,bila1255,Niger-Congo,Africa,,rasmussen2018
26,Bantu D30,,Niger-Congo,Africa,,rasmussen2018
27,Dzongkha,dzon1239,Sino-Tibetan,Asia,,hyslop2010
28,Kohumono,kohu1244,Atlantic-Kongo,Africa,,dimmendaal1978
29,Korean,kore1280,Koreanic,Asia,,bang2018
30,Phlong,pwon1235,Sino-Tibetan,Asia,,weidert1987
31,White Hmong,hmon1333,Hmong-Mien,Asia,,ratliff2015
32,Hopi,hopi1249,Uto-Aztecan,North America,,ratliff2015
33,Blimaw,,Sino-Tibetan,Asia,,weidert1987
34,Hu,huuu1240,Austroasiatic,Asia,,ratliff2015
35,Estonian,esto1258,Uralic,Europe,,ratliff2015
36,Gimira,benc1235,Omotic,Africa,,ratliff2015
37,Nakhon Si Thammarat Thai,sout2746,Kra-dai,Asia,Glottocode for Southern Thai,kingston2011
38,Yung Chiang Kam,,Kra-Dai?,Asia,,kingston2011
39,Shan,shan1277,Kra-Dai,Asia,,kingston2011
40,Szu ta Chai,,,Asia,,kingston2011
41,Central Franconian,midd1319,Indoeuropean,Europe,,gussenhoven2000
42,Central North New Caledonian languages,newc1243,Austronesian,Papunesia,Glottocode for New Caledonian ,rivierre1993
43,Far South New Caledonian langauges,extr1245,Austronesian,Papunesia,,rivierre1993
44,Kra-Dai languages,taik1256,kra-dai,Asia,,sagart2019
45,Samoan,samo1305,Austronesian,Papunesia,,
46,Zealand Danish,dani1285,Indoeuropean,Europe,Glottocode for Danish,iosad2016
47,East Slesvig,dani1285,Indoeuropean,Europe,Glottocode for Danish,iosad2016
